file0me,position,IA_1,core_depth_mm,core_depth,(mm),sample,surface,validity,E-gain,E-offset,F-slope,F-offset,cps,MSE,Al,Si,P,S,Cl,Ar,K,Ca,Ti,V,Cr,Mn,Fe,Ni,Cu,Zn,Br,Rb,Sr,Y,Zr,Ba,La,Ce,Pr,Nd,Fe,a*2,Fe,a+b,FeX1,FeX2,FeX3,W,La,W,Lb1,W,Lb2,W,La,inel,W,Lb1,inel,W,Lb2,inel,Mo,inc,Mo,coh,Dt
C:\Data\coo_6\coo_6\XRF,data\L000016.spe,IA_1,34,3.4,95.08,5.04,1,0.017496,0.000423,0.009336,0.090851,195577,1.54,0,176,19,81,582,501,1599,2154,3023,172,349,442,94162,527,481,501,803,718,3245,247,1281,0,11,130,88,25,437,373,309,437,1741,2129,1520,346,1376,624,819,46940,11713,0.421,,,,,,,,,,,,,,
C:\Data\coo_6\coo_6\XRF,data\L000017.spe,IA_1,36,3.6,97.08,5.04,1,0.017496,0.000423,0.009336,0.090851,196249,1.73,63,105,41,66,763,525,1267,1922,2779,166,343,341,92066,568,548,379,604,836,3112,136,1106,6,0,118,90,30,193,154,239,430,1854,2299,1646,422,1327,702,861,47655,11707,0.423,,,,,,,,,,,,,,
C:\Data\coo_6\coo_6\XRF,data\L000018.spe,IA_1,38,3.8,99.08,5.04,1,0.017496,0.000423,0.009336,0.090851,202095,1.65,32,90,42,91,670,492,1213,1992,2695,135,316,382,97490,563,529,378,752,904,3257,161,1158,0,0,97,53,39,280,115,244,410,1934,2353,1494,371,1375,679,771,48068,11783,0.426,,,,,,,,,,,,,,
C:\Data\coo_6\coo_6\XRF,data\L000019.spe,IA_1,40,4,101.08,5.05,1,0.017496,0.000423,0.009336,0.090851,195341,1.7,32,52,10,68,494,526,912,1447,2365,296,216,380,87958,580,515,376,729,951,3100,194,1223,0,15,220,31,0,402,123,296,289,1892,2293,1597,230,1387,569,735,48983,11889,0.425,,,,,,,,,,,,,,
C:\Data\coo_6\coo_6\XRF,data\L000020.spe,IA_1,42,4.2,103.08,5.05,1,0.017496,0.000423,0.009336,0.090851,195337,1.64,35,144,16,73,715,496,1318,2001,2356,241,385,352,91569,511,567,412,560,919,3239,243,1261,203,43,222,27,0,254,133,282,395,1754,2168,1554,385,1246,537,745,48075,11773,0.423,,,,,,,,,,,,,,
C:\Data\coo_6\coo_6\XRF,data\L000021.spe,IA_1,44,4.4,105.08,5.06,1,0.017496,0.000423,0.009336,0.090851,200704,1.57,37,176,23,67,837,479,1522,2150,3222,226,338,482,99884,626,530,397,732,816,3281,296,1350,114,8,97,80,53,534,317,370,387,2029,2228,1722,676,1222,656,827,47774,11624,0.426,,,,,,,,,,,,,,
C:\Data\coo_6\coo_6\XRF,data\L000022.spe,IA_1,46,4.6,107.08,5.06,1,0.017496,0.000423,0.009336,0.090851,205433,1.56,17,130,5,68,721,492,1589,2604,3365,279,447,424,106472,519,375,475,743,924,3343,333,1401,140,0,181,125,0,206,163,605,376,1639,2201,1635,284,1176,654,797,47453,11907,0.425,,,,,,,,,,,,,,
C:\Data\coo_6\coo_6\XRF,data\L000023.spe,IA_1,48,4.8,109.08,5.05,1,0.017496,0.000423,0.009336,0.090851,203863,1.63,10,178,0,65,778,536,1726,2796,3202,330,295,458,105183,559,449,451,561,846,3419,135,1230,109,43,190,53,5,410,146,397,442,1896,2089,1550,468,1114,649,680,47453,11865,0.424,,,,,,,,,,,,,,
C:\Data\coo_6\coo_6\XRF,data\L000024.spe,IA_1,50,5,111.08,5.05,1,0.017496,0.000423,0.009336,0.090851,204731,1.71,42,189,13,75,847,467,2144,3089,3417,399,238,488,104285,553,500,500,598,953,3397,304,1238,50,0,160,86,50,218,75,355,431,1759,2406,1767,374,963,836,689,47742,12017,0.427,,,,,,,,,,,,,,
C:\Data\coo_6\coo_6\XRF,data\L000025.spe,IA_1,52,5.2,113.08,5.03,1,0.017496,0.000423,0.009336,0.090851,196989,1.69,24,67,17,49,661,510,1288,2031,2291,485,335,385,94476,563,577,462,609,741,3691,299,1255,248,0,233,21,0,296,397,314,440,1941,2336,1626,536,1249,625,961,46945,11745,0.423,,,,,,,,,,,,,,
C:\Data\coo_6\coo_6\XRF,data\L000026.spe,IA_1,54,5.4,115.08,5.02,1,0.017496,0.000423,0.009336,0.090851,195347,1.74,0,86,18,83,630,491,1224,1784,2394,290,289,378,93791,541,524,449,575,673,3603,289,988,158,0,247,48,0,179,273,415,478,1816,2312,1680,532,1319,643,756,46897,11950,0.422,,,,,,,,,,,,,,
C:\Data\coo_6\coo_6\XRF,data\L000027.spe,IA_1,56,5.6,117.08,5.01,1,0.017496,0.000423,0.009336,0.090851,193325,1.72,18,74,0,87,580,490,876,1618,2171,123,315,333,90376,487,561,400,693,924,3552,136,1126,50,0,176,99,0,216,227,340,414,1794,2269,1508,389,1336,475,859,47387,11660,0.422,,,,,,,,,,,,,,
C:\Data\coo_6\coo_6\XRF,data\L000028.spe,IA_1,58,5.8,119.08,5.01,1,0.017496,0.000423,0.009336,0.090851,192171,1.77,18,98,29,79,622,504,1169,1932,2578,204,282,394,94405,515,487,440,620,969,3607,102,1206,0,0,139,46,39,378,351,334,424,2051,2071,1677,499,1225,633,891,46199,11694,0.418,,,,,,,,,,,,,,
