cruc#,crucible_wt,mean_depth,mm,dry_wt,post550,per_org,bulkDens,sedRate,MAR,OrgMAR
69,7.4054,118,1180,8.0787,8.0173,6.14,0.6733,1.111111111,0.748111111,0.068222222
31,6.5009,123,1230,7.5353,7.4682,6.71,1.0344,1.111111111,1.149333333,0.074555556
57,6.9433,126,1260,8.1017,8.0614,4.03,1.1584,1.111111111,1.287111111,0.044777778
73,6.7555,130,1300,7.6686,7.6093,5.93,0.9131,1,0.9131,0.0593
62,6.2495,133,1330,6.9064,6.8388,6.76,0.6569,1,0.6569,0.0676
19,6.2625,138,1380,7.0232,6.9574,6.58,0.7607,1.111111111,0.845222222,0.073111111
63,7.3721,143,1430,8.0853,8.0179,6.74,0.7132,1.111111111,0.792444444,0.074888889
3,7.001,148,1480,7.7794,7.703,7.64,0.7784,1,0.7784,0.0764
71,6.6033,152,1520,7.5297,7.4746,5.51,0.9264,1.111111111,1.029333333,0.061222222
45,6.9647,157,1570,7.6832,7.621,6.22,0.7185,1.111111111,0.798333333,0.069111111
39,6.5108,162,1620,7.3088,7.2393,6.95,0.798,1.111111111,0.886666667,0.077222222
56,6.4877,167,1670,7.1309,7.0605,7.04,0.6432,1.111111111,0.714666667,0.078222222
54,6.7636,172,1720,7.8213,7.7523,6.9,1.0577,1.111111111,1.175222222,0.076666667
36,6.8464,173.5,1735,8.0682,8.0083,5.99,1.2218,1.111111111,1.357555556,0.066555556
51,6.6015,175,1750,7.6983,7.6413,5.7,1.0968,1.111111111,1.218666667,0.063333333
66,7.2104,180,1800,7.9511,7.9108,4.03,0.7407,1.111111111,0.823,0.044777778
